Estacao;Valor;Valor_D-1;m_postos;Incosistente;Area;P100;P95;P90
1;1.75;12.12;3.37;0;210000;55.87;22.08;18.63
1;16.56;1.75;9.44;0;210000;55.87;22.08;18.63
1;13.84;16.56;7.14;0;210000;55.87;22.08;18.63
1;7.36;13.84;3.29;0;210000;55.87;22.08;18.63
1;7.34;7.36;7.42;0;210000;55.87;22.08;18.63
1;7.22;7.34;7.6;0;210000;55.87;22.08;18.63
1;10.69;7.22;14.75;0;210000;55.87;22.08;18.63
1;7.62;10.69;13.58;0;210000;55.87;22.08;18.63
1;10.37;7.62;10.17;0;210000;55.87;22.08;18.63
1;3.51;10.37;3.39;0;210000;55.87;22.08;18.63
1;3.07;3.51;4.79;0;210000;55.87;22.08;18.63
1;1.08;3.07;1.61;0;210000;55.87;22.08;18.63
1;5.16;1.08;4.53;0;210000;55.87;22.08;18.63
1;1.21;5.16;3.01;0;210000;55.87;22.08;18.63
1;3.99;1.21;3.22;0;210000;55.87;22.08;18.63
1;4.43;3.99;4.25;0;210000;55.87;22.08;18.63
1;10.52;4.43;3.76;0;210000;55.87;22.08;18.63
1;16.86;10.52;23.89;0;210000;55.87;22.08;18.63
1;32.66;16.86;33.05;0;210000;55.87;22.08;18.63
1;6.24;32.66;7.84;0;210000;55.87;22.08;18.63
1;31.35;6.24;35.29;0;210000;55.87;22.08;18.63
1;13;31.35;14.73;0;210000;55.87;22.08;18.63
1;11.09;13;11.58;0;210000;55.87;22.08;18.63
1;17.8;11.09;26.09;0;210000;55.87;22.08;18.63
1;16.03;17.8;17.03;0;210000;55.87;22.08;18.63
1;5.83;16.03;12.15;0;210000;55.87;22.08;18.63
1;14.26;5.83;24.24;0;210000;55.87;22.08;18.63
1;19.36;14.26;15.32;0;210000;55.87;22.08;18.63
1;14.65;19.36;10.02;0;210000;55.87;22.08;18.63
1;19.59;14.65;29.56;0;210000;55.87;22.08;18.63
1;19.58;19.59;15.36;0;210000;55.87;22.08;18.63
1;10.83;19.58;17.97;0;210000;55.87;22.08;18.63
1;1.69;10.83;3.41;0;210000;55.87;22.08;18.63
1;3.82;1.69;6.28;0;210000;55.87;22.08;18.63
1;3.16;3.82;7.22;0;210000;55.87;22.08;18.63
1;4.05;3.16;15.5;0;210000;55.87;22.08;18.63
1;27.93;4.05;18.43;0;210000;55.87;22.08;18.63
1;26.17;27.93;33.37;0;210000;55.87;22.08;18.63
1;4.52;26.17;8.37;0;210000;55.87;22.08;18.63
1;3.58;4.52;5.5;0;210000;55.87;22.08;18.63
1;18.64;3.58;22.84;0;210000;55.87;22.08;18.63
1;17.66;18.64;16.41;0;210000;55.87;22.08;18.63
1;15.11;17.66;11.57;0;210000;55.87;22.08;18.63
1;12.56;15.11;13.58;0;210000;55.87;22.08;18.63
1;18.44;12.56;18.22;0;210000;55.87;22.08;18.63
1;25;18.44;9.92;0;210000;55.87;22.08;18.63
1;3.61;25;1.89;0;210000;55.87;22.08;18.63
1;2.59;3.61;3.94;0;210000;55.87;22.08;18.63
1;4.02;2.59;3.9;0;210000;55.87;22.08;18.63
1;8.65;4.02;5.57;0;210000;55.87;22.08;18.63
1;11.19;8.65;5.93;0;210000;55.87;22.08;18.63
1;2.28;11.19;3.76;0;210000;55.87;22.08;18.63
1;3.2;2.28;2.76;0;210000;55.87;22.08;18.63
